items,hessian,term,df,statistic,p.value
Q9ProtectSLR,378.56358903197827,Q5,3,144.6836463534507,3.6937400966694562e-31
Q9ProtectSLR,378.56358903197827,Q8,5,29.274494886552414,2.0482414305594997e-5
Q9ProtectErosion,395.6239940553727,Q1,4,273.25477840523354,6.341378324534616e-58
Q9ProtectErosion,395.6239940553727,Q7_continent,4,8.51330572643451,0.07448493589397044
Q9ProtectErosion,395.6239940553727,Q8,5,10.266571647100376,0.06802494104684692
Q9ProtectSurge,459.3227534536622,Q5,3,135.48456255225062,3.5559590595397007e-29
Q9ProtectSurge,459.3227534536622,Q8,5,35.449486890918564,1.2237310916595793e-6
Q9ProtectRiver,347.7579062789232,Q7_continent,4,231.082283411068,7.719674574028987e-49
Q9MinEnvHazards,358.6200592954158,Q6,4,192.5563412301437,1.496019205507669e-40
Q9MinEnvHazards,358.6200592954158,Q7_continent,4,10.906162148487036,0.027639113005737934
Q9MinEnvHazards,358.6200592954158,Q8,5,24.578869583055162,1.6799271269814022e-4
Q9PreventBiodivLoss,380.5343794135937,Q7_continent,4,223.0209406883389,4.19576344901251e-47
Q9ReduceImpacts NatResExploit,309.67787046542406,Q1,4,262.8775300899019,1.0936661115307351e-55
Q9ReduceImpacts NatResExploit,309.67787046542406,Q7_continent,4,7.976303412896655,0.09245009765867603
Q9MinEffectPollut,75.14284760462509,Q6,4,255.5906435864158,4.065341380839216e-54
Q9ReduceExcessNut,213.27879676101213,Q8,5,263.581622411182,6.685024095808046e-55
Q9ReduceLossLand,541.4501617508655,Q5,3,154.6100833004603,2.6680143760354982e-33
Q9ReduceLossLand,541.4501617508655,Q8,5,68.48538666970678,2.1168232372958282e-13
Q9ManageInvasives,306.4668960817696,Q6,4,255.10855008070882,5.1637918813356067e-54
Q9ManageInvasives,306.4668960817696,Q7_continent,4,10.030198435980651,0.03992205409385584
Q11InternatPolicy,871.3009471712077,Q7_continent,4,186.45423722807783,3.0630404576156296e-39
Q11NationPolicy,641.7776682899687,Q7_continent,4,175.95076125241653,5.521378314957616e-37
